ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13203321,JG415333,2023-09-06 17:00:00,002XX N Wells st,1320,Criminal Damage,To Vehicle,Parking Lot / Garage (Non Residential),0,0,122,1,42,32,14,1174694.0,1901831.0,2023,2023-11-04 15:40:00,41.88601806,-87.63393788,"(41.886018055, -87.633937881)"
13204489,JG416325,2023-09-06 11:00:00,0000X E 8TH ST,810,Theft,Over $500,Parking Lot / Garage (Non Residential),0,0,123,1,4,32,6,1176857.0,1896680.0,2023,2023-11-04 15:40:00,41.87183477,-87.62615082,"(41.871834768, -87.62615082)"
11695116,JC272771,2019-05-21 08:20:00,018XX S CALIFORNIA AVE,620,Burglary,Unlawful Entry,Residence,0,0,1023,10,25,29,5,1157982.0,1890961.0,2019,2024-01-19 15:40:00,41.85654706,-87.69560453,"(41.856547057, -87.695604526)"
12419690,JE295655,2021-07-07 10:30:00,132XX S GREENWOOD AVE,1544,Sex Offense,Sexual Exploitation Of A Child,Residence,0,0,533,5,10,54,17,1186051.0,1817781.0,2021,2024-01-19 15:40:00,41.65511579,-87.5948832,"(41.65511579, -87.594883198)"
12729745,JF279458,2022-06-14 14:47:00,035XX N CENTRAL AVE,340,Robbery,Attempt Strong Arm - No Weapon,Bank,1,0,1633,16,30,15,3,1138391.0,1923142.0,2022,2024-01-19 15:40:00,41.94523241,-87.76673467,"(41.945232412, -87.766734668)"
12835559,JF406130,2022-09-21 22:00:00,004XX E 69TH ST,910,Motor Vehicle Theft,Automobile,Other (Specify),1,0,322,3,6,69,7,1180204.0,1859359.0,2022,2024-01-19 15:40:00,41.76934671,-87.61500829,"(41.769346711, -87.615008288)"
13003649,JG177593,2023-02-22 13:50:00,070XX S CLYDE AVE,610,Burglary,Forcible Entry,Residence - Porch / Hallway,1,0,331,3,5,43,5,1191427.0,1858753.0,2023,2024-01-19 15:40:00,41.76741922,-87.5738902,"(41.767419224, -87.573890196)"
13061203,JG246126,2023-05-03 08:10:00,073XX S EMERALD AVE,486,Battery,Domestic Battery Simple,Street,1,1,732,7,6,68,08B,1172570.0,1856234.0,2023,2024-01-19 15:40:00,41.76094288,-87.64308281,"(41.760942883, -87.643082808)"
13256787,JG479716,2022-12-25 00:01:00,055XX S ALBANY AVE,486,Battery,Domestic Battery Simple,Residence - Garage,0,1,824,8,14,63,08B,1156659.0,1867650.0,2022,2024-01-19 15:40:00,41.79260562,-87.70109031,"(41.792605624, -87.70109031)"
27382,JG184406,2023-03-13 18:40:00,004XX E 88TH ST,110,Homicide,First Degree Murder,Alley,1,0,632,6,8,44,01A,1180808.0,1846737.0,2023,2024-01-19 15:40:00,41.73469669,-87.61318158,"(41.734696692, -87.613181581)"
27547,JH119907,2023-06-05 21:15:00,020XX N KIMBALL AVE,110,Homicide,First Degree Murder,Apartment,1,1,1413,14,26,22,01A,1153376.0,1913502.0,2023,2024-01-19 15:40:00,41.91849446,-87.71191192,"(41.918494462, -87.711911917)"
6255892,HP342049,2008-05-17 18:00:00,101XX S LAFAYETTE AVE,031A,Robbery,Armed - Handgun,Residence,0,0,511,5,9,49,3,1177712.0,1837726.0,2008,2024-01-19 15:40:00,41.71003986,-87.62479561,"(41.710039855, -87.62479561)"
6272641,HP358387,2008-05-27 01:00:00,105XX S PERRY AVE,320,Robbery,Strong Arm - No Weapon,Street,0,1,512,5,9,49,3,1177463.0,1835161.0,2008,2024-01-19 15:40:00,41.70300676,-87.62578466,"(41.703006756, -87.625784664)"
6438609,HP496499,2008-08-05 22:37:00,126XX S UNION AVE,031A,Robbery,Armed - Handgun,School - Public Grounds,0,0,523,5,9,53,3,1173953.0,1821073.0,2008,2024-01-19 15:40:00,41.66442548,-87.63905314,"(41.664425476, -87.639053139)"
6680276,HP754070,2008-12-27 20:00:00,058XX N MANTON AVE,610,Burglary,Forcible Entry,Residence - Garage,0,0,1622,16,39,11,5,1137225.0,1938474.0,2008,2024-01-19 15:40:00,41.9873259,-87.77065041,"(41.9873259, -87.770650405)"
11662417,JC232642,2019-04-21 12:30:00,009XX E 80TH ST,031A,Robbery,Armed - Handgun,Residence,0,0,631,6,8,44,3,1184044.0,1852159.0,2019,2023-09-14 15:41:00,41.74950033,-87.6011574,"(41.749500329, -87.6011574)"
12218064,JD426642,2020-10-30 16:30:00,011XX E 82ND ST,266,Criminal Sexual Assault,Predatory,Residence,1,1,411,4,8,45,2,1185144.0,1850850.0,2020,2023-09-14 15:41:00,41.74588254,-87.59716764,"(41.745882542, -87.597167639)"
12592454,JF113025,2022-01-14 15:55:00,067XX S MORGAN ST,2826,Other Offense,Harassment By Electronic Means,Residence,0,1,724,7,16,68,26,1170805.0,1860170.0,2022,2023-09-14 15:41:00,41.77178244,-87.64943693,"(41.771782439, -87.649436929)"
12601676,JF124024,2022-01-13 16:00:00,031XX W AUGUSTA BLVD,1752,Offense Involving Children,Aggravated Criminal Sexual Abuse By Family Member,Residence,0,1,1211,12,36,23,17,1155171.0,1906486.0,2022,2023-09-14 15:41:00,41.89920607,-87.70550559,"(41.899206068, -87.705505587)"
12785595,JF346553,2022-08-05 21:00:00,072XX S UNIVERSITY AVE,1544,Sex Offense,Sexual Exploitation Of A Child,Apartment,1,0,324,3,5,69,17,1185135.0,1857211.0,2022,2023-09-14 15:41:00,41.76333797,-87.59700113,"(41.763337967, -87.597001131)"
12342615,JE202211,2021-04-17 15:20:00,081XX S PRAIRIE AVE,325,Robbery,Vehicular Hijacking,Residence,0,0,631,6,6,44,3,1179448.0,1851073.0,2021,2025-04-16 15:40:00,41.74662631,-87.61803195,"(41.746626309, -87.618031954)"
12808281,JF373517,2022-08-14 14:00:00,055XX W ARDMORE AVE,1562,Sex Offense,Aggravated Criminal Sexual Abuse,Residence,0,0,1621,16,39,11,17,1138383.0,1937953.0,2022,2023-09-14 15:41:00,41.98587528,-87.76640386,"(41.985875279, -87.766403857)"
12888104,JF469015,2022-11-10 03:47:00,072XX S MAY ST,1477,Weapons Violation,Reckless Firearm Discharge,Street,0,0,733,7,17,68,15,1169903.0,1856822.0,2022,2023-09-14 15:41:00,41.76261474,-87.65284046,"(41.76261474, -87.652840463)"
12990873,JG161829,2019-08-17 13:14:00,008XX N KARLOV AVE,1751,Offense Involving Children,Criminal Sexual Abuse By Family Member,Residence,1,1,1111,11,37,23,17,1148899.0,1905351.0,2019,2023-09-14 15:41:00,41.89621515,-87.72857205,"(41.89621515, -87.728572048)"
13045102,JG226663,2023-03-30 09:16:00,080XX S DREXEL AVE,1544,Sex Offense,Sexual Exploitation Of A Child,Apartment,0,1,631,6,8,44,17,1183631.0,1851847.0,2023,2023-09-14 15:41:00,41.7486538,-87.60268049,"(41.748653803, -87.602680492)"
13074891,JG262771,2023-05-10 12:43:00,028XX N MANGO AVE,1754,Offense Involving Children,Aggravated Sexual Assault Of Child By Family Member,Residence,0,1,2514,25,30,19,2,1137557.0,1918320.0,2023,2023-09-14 15:41:00,41.93201543,-87.76991667,"(41.932015426, -87.769916668)"
13099339,JG291745,2023-04-01 11:13:00,020XX N LAPORTE AVE,1751,Offense Involving Children,Criminal Sexual Abuse By Family Member,Residence,0,1,2522,25,26,19,17,1143059.0,1913090.0,2023,2023-09-14 15:41:00,41.91756278,-87.74982812,"(41.917562778, -87.749828117)"
13121127,JG313964,2023-06-22 18:52:00,015XX W NORTH AVE,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Auto / Boat / Rv Dealership,1,0,1433,14,1,24,11,1165854.0,1910738.0,2023,2023-09-14 15:41:00,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
12955336,JG119661,2022-11-16 10:23:00,087XX S KINGSTON AVE,1562,Sex Offense,Aggravated Criminal Sexual Abuse,Residence,0,1,423,4,7,46,17,1194660.0,1847481.0,2022,2023-11-15 15:41:00,41.73640903,-87.56241031,"(41.736409029, -87.562410309)"
13210072,JG422242,2023-08-11 11:00:00,0000X S ALBANY AVE,1790,Offense Involving Children,Child Abduction,Residence,0,1,1124,11,28,27,26,1155914.0,1899709.0,2023,2023-09-16 15:41:00,41.88059439,-87.70295942,"(41.880594385, -87.702959421)"
13124701,JG321999,2023-06-30 04:00:00,007XX E 111TH ST,583,Stalking,Cyberstalking,Police Facility / Vehicle Parking Lot,1,0,531,5,9,50,08A,1183356.0,1831503.0,2023,2023-09-14 15:41:00,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
13129199,JG327622,2023-07-04 17:30:00,047XX S CALUMET AVE,910,Motor Vehicle Theft,Automobile,Street,1,0,224,2,3,38,7,1179230.0,1873766.0,2023,2023-09-14 15:41:00,41.80890316,-87.61813919,"(41.80890316, -87.618139193)"
13158716,JG362691,2018-11-09 00:00:00,017XX N NASHVILLE AVE,265,Criminal Sexual Assault,Aggravated - Other,Residence,0,0,2513,25,29,25,2,1132147.0,1910836.0,2018,2023-09-14 15:41:00,41.91157425,-87.78997228,"(41.911574252, -87.789972279)"
13176001,JG382803,2023-02-01 14:00:00,058XX S MICHIGAN AVE,1562,Sex Offense,Aggravated Criminal Sexual Abuse,Apartment,1,1,232,2,20,40,17,1178158.0,1866236.0,2023,2023-09-14 15:41:00,41.78826455,-87.62229949,"(41.788264552, -87.62229949)"
13179181,JG386523,2023-08-17 15:15:00,020XX N MILWAUKEE AVE,860,Theft,Retail Theft,Department Store,1,0,1431,14,1,22,6,1159682.0,1913243.0,2023,2023-09-14 15:41:00,41.91765602,-87.68875026,"(41.917656022, -87.688750258)"
13179344,JG386917,2023-08-17 19:25:00,030XX N ELBRIDGE AVE,860,Theft,Retail Theft,Street,1,0,1412,14,35,21,6,1152158.0,1919830.0,2023,2023-09-14 15:41:00,41.93588316,-87.71621965,"(41.935883156, -87.716219645)"
13181797,JG389859,2023-08-20 04:30:00,020XX N LEAMINGTON AVE,1310,Criminal Damage,To Property,Residence,1,1,2522,25,36,19,14,1141753.0,1913164.0,2023,2023-09-14 15:41:00,41.91779013,-87.75462463,"(41.917790125, -87.754624625)"
13181885,JG389920,2023-08-20 06:00:00,020XX N LECLAIRE AVE,820,Theft,$500 And Under,Street,1,1,2522,25,26,19,6,1142089.0,1913063.0,2023,2023-09-14 15:41:00,41.91750674,-87.75339264,"(41.917506742, -87.753392641)"
13183042,JG391309,2023-08-21 07:28:00,016XX N WASHTENAW AVE,1350,Criminal Trespass,To State Sup Land,Cha Parking Lot / Grounds,1,0,1421,14,26,24,26,1158119.0,1910792.0,2023,2023-09-14 15:41:00,41.91096238,-87.69455985,"(41.910962378, -87.694559852)"
13183567,JG392073,2023-08-21 14:37:00,022XX N LEAMINGTON AVE,1220,Deceptive Practice,Theft Of Lost / Mislaid Property,Street,1,0,2522,25,26,19,11,1141688.0,1914409.0,2023,2023-09-14 15:41:00,41.92120774,-87.75483259,"(41.921207741, -87.754832585)"
13184491,JG393031,2023-08-22 11:44:00,026XX N ELSTON AVE,860,Theft,Retail Theft,Department Store,1,0,1432,14,32,22,6,1160867.0,1917657.0,2023,2023-09-14 15:41:00,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
