ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13311263,JG503434,7/29/2022 3:39,023XX S TROY ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,True,False,1033,10,25,30,17,,,2022,4/18/2024 15:40,,,
13053066,JG103252,1/3/2023 16:44,039XX W WASHINGTON BLVD,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1122,11,28,26,18,,,2023,1/20/2024 15:41,,,
11227634,JB147599,8/26/2017 10:00,001XX W RANDOLPH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,False,False,122,1,42,32,2,,,2017,2/11/2018 15:57,,,
13203321,JG415333,9/6/2023 17:00,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,122,1,42,32,14,1174694.0,1901831.0,2023,11/4/2023 15:40,41.88601806,-87.63393788,"(41.886018055, -87.633937881)"
13204489,JG416325,9/6/2023 11:00,0000X E 8TH ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,123,1,4,32,6,1176857.0,1896680.0,2023,11/4/2023 15:40,41.87183477,-87.62615082,"(41.871834768, -87.62615082)"
11695116,JC272771,5/21/2019 8:20,018XX S CALIFORNIA AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1023,10,25,29,5,1157982.0,1890961.0,2019,1/19/2024 15:40,41.85654706,-87.69560453,"(41.856547057, -87.695604526)"
12419690,JE295655,7/7/2021 10:30,132XX S GREENWOOD AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,533,5,10,54,17,1186051.0,1817781.0,2021,1/19/2024 15:40,41.65511579,-87.5948832,"(41.65511579, -87.594883198)"
12729745,JF279458,6/14/2022 14:47,035XX N CENTRAL AVE,340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,BANK,True,False,1633,16,30,15,3,1138391.0,1923142.0,2022,1/19/2024 15:40,41.94523241,-87.76673467,"(41.945232412, -87.766734668)"
12835559,JF406130,9/21/2022 22:00,004XX E 69TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),True,False,322,3,6,69,7,1180204.0,1859359.0,2022,1/19/2024 15:40,41.76934671,-87.61500829,"(41.769346711, -87.615008288)"
13003649,JG177593,2/22/2023 13:50,070XX S CLYDE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - PORCH / HALLWAY,True,False,331,3,5,43,5,1191427.0,1858753.0,2023,1/19/2024 15:40,41.76741922,-87.5738902,"(41.767419224, -87.573890196)"
13061203,JG246126,5/3/2023 8:10,073XX S EMERALD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,732,7,6,68,08B,1172570.0,1856234.0,2023,1/19/2024 15:40,41.76094288,-87.64308281,"(41.760942883, -87.643082808)"
13256787,JG479716,12/25/2022 0:01,055XX S ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - GARAGE,False,True,824,8,14,63,08B,1156659.0,1867650.0,2022,1/19/2024 15:40,41.79260562,-87.70109031,"(41.792605624, -87.70109031)"
27382,JG184406,3/13/2023 18:40,004XX E 88TH ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,632,6,8,44,01A,1180808.0,1846737.0,2023,1/19/2024 15:40,41.73469669,-87.61318158,"(41.734696692, -87.613181581)"
27547,JH119907,6/5/2023 21:15,020XX N KIMBALL AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,1413,14,26,22,01A,1153376.0,1913502.0,2023,1/19/2024 15:40,41.91849446,-87.71191192,"(41.918494462, -87.711911917)"
6255892,HP342049,5/17/2008 18:00,101XX S LAFAYETTE AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,False,False,511,5,9,49,3,1177712.0,1837726.0,2008,1/19/2024 15:40,41.71003986,-87.62479561,"(41.710039855, -87.62479561)"
6272641,HP358387,5/27/2008 1:00,105XX S PERRY AVE,320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,True,512,5,9,49,3,1177463.0,1835161.0,2008,1/19/2024 15:40,41.70300676,-87.62578466,"(41.703006756, -87.625784664)"
6438609,HP496499,8/5/2008 22:37,126XX S UNION AVE,031A,ROBBERY,ARMED - HANDGUN,SCHOOL - PUBLIC GROUNDS,False,False,523,5,9,53,3,1173953.0,1821073.0,2008,1/19/2024 15:40,41.66442548,-87.63905314,"(41.664425476, -87.639053139)"
6680276,HP754070,12/27/2008 20:00,058XX N MANTON AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1622,16,39,11,5,1137225.0,1938474.0,2008,1/19/2024 15:40,41.9873259,-87.77065041,"(41.9873259, -87.770650405)"
11662417,JC232642,4/21/2019 12:30,009XX E 80TH ST,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,False,False,631,6,8,44,3,1184044.0,1852159.0,2019,9/14/2023 15:41,41.74950033,-87.6011574,"(41.749500329, -87.6011574)"
